2021.06.27 星期日
12:40 德行天下 你好阿正
12:40 德行天下 我是阿山
12:40 德行天下 我叫陳山橋
12:47 6.27台灣阿正有男38政府機關0.5 你好喔
12:47 已撤回信息。
12:48 德行天下 在忙什麼呢阿正
12:49 德行天下 週末愉快
12:49 6.27台灣阿正有男38政府機關0.5 剛吃飽，在看電視
12:49 6.27台灣阿正有男38政府機關0.5 你呢，週末在做什麼呢？
12:49 德行天下 我今天是在休息
12:49 德行天下 一個人在家看電視嗎
12:50 6.27台灣阿正有男38政府機關0.5 對啊
12:50 6.27台灣阿正有男38政府機關0.5 你也是自己在家嗎？
12:50 德行天下 對呀
12:51 德行天下 我一個人住
12:51 德行天下 你呢
12:51 6.27台灣阿正有男38政府機關0.5 我也是自己住
12:55 德行天下 所以你也是單身是嗎
12:55 德行天下 看你的頭像去過日本
12:55 德行天下 我也很喜歡旅遊
12:57 6.27台灣阿正有男38政府機關0.5 對啊，好幾年前去的
12:58 6.27台灣阿正有男38政府機關0.5 有空就會出去旅遊，可惜現在都沒辦法去
12:58 德行天下 我也喜歡旅遊
12:58 6.27台灣阿正有男38政府機關0.5 目前是有交往對象
12:58 德行天下 我的工作出差會比較多
12:58 德行天下 疫情給我們生活中帶來了很多的限制
12:59 德行天下 了解
12:59 6.27台灣阿正有男38政府機關0.5 你工作要常常四處跑啊
12:59 德行天下 交往的怎麼樣了
12:59 德行天下 我自己開了一家酒窖
12:59 6.27台灣阿正有男38政府機關0.5 其實有點難說😅
12:59 德行天下 需要更新資源因為我是做進出口所以需要談單
13:00 德行天下 我也是一名金融分析師
13:00 6.27台灣阿正有男38政府機關0.5 你還蠻厲害的
13:00 德行天下 怎麼這麼說，交往的不是很順利嗎
13:00 德行天下 你是做什麼工作的呢
13:01 德行天下 图片
13:01 6.27台灣阿正有男38政府機關0.5 聚少離多吧，蠻多原因
13:01 德行天下 图片
13:01 德行天下 图片
13:01 6.27台灣阿正有男38政府機關0.5 土木建築方面
13:01 德行天下 你們交往很久了嗎
13:01 德行天下 你是包工頭？還是工程師
13:02 6.27台灣阿正有男38政府機關0.5 目前是在政府機關
13:03 6.27台灣阿正有男38政府機關0.5 10年多了
13:03 德行天下 政府機關的待遇很好啊
13:03 德行天下 那這個很好賺
13:03 德行天下 那你們的感情一定很好吧
13:03 德行天下 都這麼長時間的基礎了
13:03 德行天下 很羨慕你們
13:04 6.27台灣阿正有男38政府機關0.5 在私人機關會比較好
13:04 6.27台灣阿正有男38政府機關0.5 可能太久了，感情有點不一樣吧
13:04 6.27台灣阿正有男38政府機關0.5 雖說在交往，但一年也不過見一兩次面而已
13:05 6.27台灣阿正有男38政府機關0.5 彼此感覺跟以前差很多
13:05 德行天下 可能是沒有了當初的那一份激情了
13:05 6.27台灣阿正有男38政府機關0.5 應該說更像家人吧
13:05 德行天下 你們相距的很遠嗎
13:06 6.27台灣阿正有男38政府機關0.5 車埕四五個小時左右
13:06 德行天下 也是，做為家人就是這樣的感覺，多了一份從容
13:06 德行天下 我還以為是跨國戀呢XD
13:07 6.27台灣阿正有男38政府機關0.5 哈哈，沒有啦，連跨國聊天的朋友都沒有
13:07 德行天下 哈哈，了解
13:08 德行天下 還不知道你年齡呢阿正
13:08 6.27台灣阿正有男38政府機關0.5 我也沒認識幾個圈內的人
13:08 6.27台灣阿正有男38政府機關0.5 38歲
13:08 6.27台灣阿正有男38政府機關0.5 你呢
13:08 德行天下 我40了
13:09 德行天下 我也是
13:09 6.27台灣阿正有男38政府機關0.5 年紀差不多啊
13:09 德行天下 我屬於低調形的
13:09 德行天下 是
13:09 德行天下 年齡比較相近的話會比較沒有代溝
13:09 6.27台灣阿正有男38政府機關0.5 我也是，但就覺得朋友好像不太多
13:10 6.27台灣阿正有男38政府機關0.5 感覺講話或想法也會近一點
13:10 德行天下 年齡的關係吧
13:10 德行天下 人到了一定的年齡以後就不喜歡外界的喧嘩
13:11 德行天下 我現在的圈子相對來說是比較乾淨的，這樣也好比較方便整理也不用過多的去分心
13:12 德行天下 那些無用的社交不會選擇產於
13:13 6.27台灣阿正有男38政府機關0.5 對圈內大概也都是網路上的認識，有時候想想又覺得當時是不是應該多認識點
13:14 德行天下 其實這個問題的回答就是沒有太固定的答案
13:14 6.27台灣阿正有男38政府機關0.5 對啊，不過也是沒接觸過，才會這樣想
13:14 德行天下 因為認識圈內的人的話有的是為了滿足自己的下半身這樣的人是相對來說比較多的，對於我來說更多的在乎的是精神層面上的東西
13:15 德行天下 我覺得兩個人相識交談很重要
13:15 6.27台灣阿正有男38政府機關0.5 這個真的很重要，如果只是要滿足下半身，真的隨便找就有了
13:21 德行天下 我喜歡內在美，在思維上有高度，對待事情有格局，對待生活有顆積極向上的心，上進的人
13:21 德行天下 我覺得內在的重要性是遠比身體上的滿足是更加重要的
13:22 6.27台灣阿正有男38政府機關0.5 非常認同
13:22 6.27台灣阿正有男38政府機關0.5 身體滿足也只是暫時而已
13:23 6.27台灣阿正有男38政府機關0.5 認識一個人交心的，才比較重要
13:23 德行天下 性只是愛情的潤滑劑
13:24 德行天下 是的兩個人在一起如果沒有愛情的基礎那麼這一段感情肯定是長久不了的
13:26 6.27台灣阿正有男38政府機關0.5 對啊，真的還是需要性愛外的部分來維持
